Sno,Api,Descriptions,CompetitorName,CompetitorDescription,Companyid,Teststatus,limit,page,search,sortby,order,ResponseCode,ResponseText,ResponseMessage,ReadResonseText,DeleteResponseText
1,CreateCompetitorfromAdminPS,PS: Create Competitor with valid input,TestCompetitor,Test Competitor creation,10,true,10,1,TestCompetitor,created,desc,200,Competitor has been created sucessfully,OK,account_id,Competitor has been deleted successfully
2,CreateCompetitorfromAdminPS,PS: Create Competitor with name and description,TestCompetitor,Test Competitor creation,,false,10,1,TestCompetitor,name,asc,200,Competitor has been created sucessfully,OK,account_id,Competitor has been deleted successfully
3,CreateCompetitorfromAdminPS,PS: Create Competitor with max chars in name,TestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitor,Test Competitor creation,10,,10,1,TestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitorTestCompetitor,name,asc,200,Competitor has been created sucessfully,OK,account_id,Competitor has been deleted successfully
4,CreateCompetitorfromAdminPS,PS: Create Competitor with max chars in description,TestCompetitor,Test Competitor creationTest Competitor creationTest Competitor creationTest Competitor creationTest Competitor creationTest Competitor creationTest Competitor creationTest Competitor creationTest Competitor creationTest Competitor creationTest Competitor creationTest Competitor creationTest Competitor creationTest Competitor creation,10,false,10,1,TestCompetitor,name,asc,200,Competitor has been created sucessfully,OK,account_id,Competitor has been deleted successfully
5,CreateCompetitorfromAdminPS,NS: Create competitor with Competitor name alone,TestCompetitor,,,,10,1,TestCompetitor,name,asc,200,Competitor has been created sucessfully,OK,account_id,Competitor has been deleted successfully
6,CreateCompetitorfromAdminPS,NS: Create competitor without competitor description,TestCompetitor,,10,true,10,1,TestCompetitor,name,asc,200,Competitor has been created sucessfully,OK,account_id,Competitor has been deleted successfully
7,CreateCompetitorfromAdminPS,NS: Create Competitor with invalid teststatus,TestCompetitor,Test Competitor creation,,abcd,10,1,TestCompetitor,name,asc,200,Competitor has been created sucessfully,OK,account_id,Competitor has been deleted successfully
8,CreateCompetitorfromAdminNS,NS: Create Competitor with invalid Company ,TestCompetitor,Test Competitor creation,abcd,,10,1,TestCompetitor,name,asc,200,Competitor has been created sucessfully,OK,account_id,Competitor has been deleted successfully
9,CreateCompetitorfromAdminNS,NS: Create competitor with description alone,,Test Competitor creation,,,10,1,TestCompetitor,name,asc,200,Competitor has been created sucessfully,OK,account_id,Competitor has been deleted successfully
10,CreateCompetitorfromAdminNS,NS: Create competitor with company alone,,,10,,10,1,TestCompetitor,name,asc,200,Competitor has been created sucessfully,OK,account_id,Competitor has been deleted successfully
